eem_id,document,cat_lev1,cat_lev2,eem_name
1,,AdvancedMeteringSystems and WaterAndSewerConservationSystems,,Install flow rate meters
2,,AlternativeWaterSources,,Capture condensate
3,,AlternativeWaterSources,,Reclaim wastewater
4,,AlternativeWaterSources,,Use atmospheric water generation
5,,AlternativeWaterSources,,Establish traditional wastewater treatment plant
6,,AlternativeWaterSources,,Install water harvesting system
7,,AlternativeWaterSources,,Use blowdown water for irrigation
8,,AlternativeWaterSources,,Use desalinated water
9,,AlternativeWaterSources,,Use discharged water from water purification processes
10,,AlternativeWaterSources,,Use foundation water
11,,AlternativeWaterSources,,Use graywater
12,,BoilerPlantImprovements,,Add automatic chemical feed system
13,,BoilerPlantImprovements,,Add insulation
14,,BoilerPlantImprovements,,Blowdown accumulated dissolved solids and/or sludge
15,,BoilerPlantImprovements,,Implement boiler tuning program
16,,BoilerPlantImprovements,,Implement condensate pump inspection and maintenance program
17,,BoilerPlantImprovements,,Implement leak inspection and maintenance program
18,,BoilerPlantImprovements,,Implement summer shutdown
19,,BoilerPlantImprovements,,Inspect and fire side of boiler
20,,BoilerPlantImprovements,,Install and maintain condensate return system
21,,BoilerPlantImprovements,,Install automatic blowdown system
22,,BoilerPlantImprovements,,Install blowdown heat exchanger
23,,BoilerPlantImprovements,,Install expansion flash tank
24,,BoilerPlantImprovements,,Install meters on make-up lines
25,,BoilerPlantImprovements,,"Install small summer boiler, distributed system, or heat-capture system for reheat or dehumidification requirements"
26,,BoilerPlantImprovements,,Monitor inert ion concentration
27,,BoilerPlantImprovements,,Obtain water treatment services
28,,BoilerPlantImprovements,,Replace with most life cycle cost-effective boiler
29,,ChilledWaterHotWaterAndSteamDistributionSystems,,Implement ground penetration to detect leaks
30,,ChilledWaterHotWaterAndSteamDistributionSystems,,Install fiber optics leak detection sensors
31,,ChilledWaterHotWaterAndSteamDistributionSystems,,Install in-pipe leak detection sensors
32,,ChilledWaterHotWaterAndSteamDistributionSystems,,Install noise loggers or listening sticks for leak detection
33,,ChilledWaterHotWaterAndSteamDistributionSystems,,Use drone-operated thermal imaging for leak detection
34,,ChilledWaterHotWaterAndSteamDistributionSystems,,Use hand-held thermal imaging for leak detection
35,,ChilledWaterHotWaterAndSteamDistributionSystems,,Use satellite for leak detection
36,,ChillerPlantImprovements,,Check the ratio of conductivity of blowdown and make-up water for cooling tower management
37,,ChillerPlantImprovements,,Consider alternative water treatment options such as ozonation or ionization and chemical use for cooling tower 
38,,ChillerPlantImprovements,,Implement a comprehensive air handler coil maintenance program for cooling tower management
39,,ChillerPlantImprovements,,Implement advanced cooling tower controls
40,,ChillerPlantImprovements,,Implement cooling tower water treatment programs
41,,ChillerPlantImprovements,,Install automated chemical feed systems for cooling tower management
42,,ChillerPlantImprovements,,Install conductivity controller for cooling tower management
43,,ChillerPlantImprovements,,Install covers on open distribution decks on top of cooling tower 
44,,ChillerPlantImprovements,,Install flow meters on make-up and blowdown lines for cooling tower management
45,,ChillerPlantImprovements,,Install make-up water or side-stream softening system for cooling tower management
46,,ChillerPlantImprovements,,Install side-stream filtration system for cooling tower management
47,,ChillerPlantImprovements,,Use acid treatment for cooling tower management
48,,ChillerPlantImprovements,,Use conductivity and flow meters for trouble shooting cooling tower management
49,,InformationAndEducationProgram,,Conduct regular internal training workshops for water efficiency best practices
50,,InformationAndEducationProgram,,Create internal column newsletter on water conservation
51,,InformationAndEducationProgram,,Develop water saving programs with local utilities
52,,InformationAndEducationProgram,,Establish internal communication system to report leaks
53,,InformationAndEducationProgram,,Establish internal suggestion and incentive system for saving water
54,,InformationAndEducationProgram,,Place signs internally near equipment on proper use to save water
55,,InformationAndEducationProgram,,Share internal water usage to promote reduction
56,,KitchenImprovements,,Clean ice machine water heat exchanger coils 
57,,KitchenImprovements,,Eliminate ice machine single-pass cooling
58,,KitchenImprovements,,Ensure adequate hose height for pre-rinse spray valves
59,,KitchenImprovements,,Ensure final dishwasher rinse pressure within manufacture recommendation
60,,KitchenImprovements,,Install dishwasher rack sensors
61,,KitchenImprovements,,Install food disposal load sensing device
62,,KitchenImprovements,,Install food disposal water stop timer
63,,KitchenImprovements,,"Look for steam cookers with improved insulation, standby mode, and closed-system design"
64,,KitchenImprovements,,Operate dishwasher at the minimum flow rate and rinse cycle with minimum time
65,,KitchenImprovements,,Optimize the ice machine rinse cycle
66,,KitchenImprovements,,Replace with ENERGY STAR-qualified high-efficiency commercial dishwashers
