eem_id,document,cat_lev1,cat_lev2,eem_name
10,1651RP,Daylighting,Passive,High ceilings
24,1651RP,Daylighting,Passive,Use of interzone luminous ceilings
35,1651RP,Envelope,Fenestration,Heat absorbing blinds
36,1651RP,Envelope,Fenestration,Manual Internal Window shades
60,1651RP,Envelope,Infiltration,High Performance Air Barrier to Reduce Infiltration
69,1651RP,Envelope,Opaque,Dynamic Wall Insulation
73,1651RP,Envelope,Opaque,High-speed doors between heated/cooled building space and unconditioned space in the areas with high-traffic
80,1651RP,Envelope,Opaque,large reservoirs of water for thermal mass within zone
120,1651RP,HVAC,Control,Optimize multiple chiller sequencing.
123,1651RP,HVAC,Control,Outdoor reset for supply hot water temperature
132,1651RP,HVAC,Control,Thermostat setback/setup
162,1651RP,HVAC,Distribution Equipment Efficiency,Pipe insulation for condensate return from coils to boiler
173,1651RP,HVAC,Distribution Pressure Drop,High Performance Diffusers
179,1651RP,HVAC,Distribution Pressure Drop,Piping Connectors for Reduced Static Pressure
185,1651RP,HVAC,Heating Efficiency,Electronic ignition for gas burners
209,1651RP,HVAC,System,Absorption chillers
287,1651RP,HVAC,System,Variable Speed Water Loop Heat Pumps
304,1651RP,HVAC,Ventilation,Hybrid/Mixed Mode Ventilation
342,1651RP,Internal Load,Equipment,High performance motors
501,BEQ,HVAC System,0,"Where cooling is provided by multiple units, maintain proper sequencing to achieve maximum efficiency while meeting required load."
537,BEQ,HVAC System,0,"In humid climates, supply air with a temperature above the dew point to prevent condensation on cold surfaces."
562,BEQ,HVAC System,0,Reduce operating hours of simultaneously heating and cooling systems.
585,BEQ,Refrigeration,0,Install high specific-efficiency (Btu/W) condensers. E
590,BEQ,Refrigeration,0,Calibrate pressure transducers to optimize suction pressure.
633,BEQ,Energy Generation,0,Reduce overpumping on chilled-water systems.
683,BEQ,Other EEMs,0,"Reduce demand charges through load shedding, operational changes, and procedural changes."
698,STD100,BUILDING ENVELOPE,Walls,Consider converting internal courtyard into an atrium to reduce external wall surface.
781,STD100,HVAC SYSTEMS,Building Automation and Control Systems,Adjust housekeeping schedule to minimize HVAC use.
797,STD100,REFRIGERATION,Reduce Loads,Replace lights with LED strip lights with motion sensors in refrigerated cases and spaces.
808,STD100,REFRIGERATION,Improve System Operating Efficiency,Install mechanical subcooling
