eem_id,document,cat_lev1,cat_lev2,eem_name,Error_1,Error_3,Error_4,Error_5,Error_6,Error_7,Error_8
1,NA,AdvancedMeteringSystems and WaterAndSewerConservationSystems,NA,Install flow rate meters,0,0,0,0,0,0,0
2,NA,AlternativeWaterSources,NA,Capture condensate,0,0,0,0,1,0,0
3,NA,AlternativeWaterSources,NA,Reclaim wastewater,0,0,0,0,1,0,0
4,NA,AlternativeWaterSources,NA,Use atmospheric water generation,0,0,0,0,1,0,0
5,NA,AlternativeWaterSources,NA,Establish traditional wastewater treatment plant,0,0,0,1,1,1,0
6,NA,AlternativeWaterSources,NA,Install water harvesting system,0,0,0,0,1,0,0
7,NA,AlternativeWaterSources,NA,Use blowdown water for irrigation,0,0,0,0,1,0,0
8,NA,AlternativeWaterSources,NA,Use desalinated water,0,0,0,0,1,0,0
9,NA,AlternativeWaterSources,NA,Use discharged water from water purification processes,0,0,0,0,1,0,0
10,NA,AlternativeWaterSources,NA,Use foundation water,0,0,0,0,1,0,0
11,NA,AlternativeWaterSources,NA,Use graywater,0,0,0,0,1,0,0
12,NA,BoilerPlantImprovements,NA,Add automatic chemical feed system,0,0,0,0,1,0,0
13,NA,BoilerPlantImprovements,NA,Add insulation,0,0,0,0,1,0,0
14,NA,BoilerPlantImprovements,NA,Blowdown accumulated dissolved solids and/or sludge,0,0,0,1,1,0,0
15,NA,BoilerPlantImprovements,NA,Implement boiler tuning program,0,0,0,0,0,0,0
16,NA,BoilerPlantImprovements,NA,Implement condensate pump inspection and maintenance program,0,0,0,0,1,0,0
17,NA,BoilerPlantImprovements,NA,Implement leak inspection and maintenance program,0,0,0,0,1,0,0
18,NA,BoilerPlantImprovements,NA,Implement summer shutdown,0,0,0,0,1,0,0
19,NA,BoilerPlantImprovements,NA,Inspect and fire side of boiler,1,0,0,0,0,0,0
20,NA,BoilerPlantImprovements,NA,Install and maintain condensate return system,1,1,0,0,1,0,0
21,NA,BoilerPlantImprovements,NA,Install automatic blowdown system,0,0,0,0,1,0,0
22,NA,BoilerPlantImprovements,NA,Install blowdown heat exchanger,0,0,0,0,1,0,0
23,NA,BoilerPlantImprovements,NA,Install expansion flash tank,0,0,0,0,1,0,0
24,NA,BoilerPlantImprovements,NA,Install meters on make-up lines,0,0,0,0,0,0,0
25,NA,BoilerPlantImprovements,NA,"Install small summer boiler, distributed system, or heat-capture system for reheat or dehumidification requirements",0,1,1,0,0,0,0
26,NA,BoilerPlantImprovements,NA,Monitor inert ion concentration,1,0,0,0,1,0,0
27,NA,BoilerPlantImprovements,NA,Obtain water treatment services,0,0,0,1,1,0,0
28,NA,BoilerPlantImprovements,NA,Replace with most life cycle cost-effective boiler,0,0,0,0,0,1,0
29,NA,ChilledWaterHotWaterAndSteamDistributionSystems,NA,Implement ground penetration to detect leaks,0,0,0,0,1,0,0
30,NA,ChilledWaterHotWaterAndSteamDistributionSystems,NA,Install fiber optics leak detection sensors,0,0,0,0,1,0,0
31,NA,ChilledWaterHotWaterAndSteamDistributionSystems,NA,Install in-pipe leak detection sensors,0,0,0,0,1,0,0
32,NA,ChilledWaterHotWaterAndSteamDistributionSystems,NA,Install noise loggers or listening sticks for leak detection,0,0,0,0,1,0,0
33,NA,ChilledWaterHotWaterAndSteamDistributionSystems,NA,Use drone-operated thermal imaging for leak detection,0,0,0,0,1,0,0
34,NA,ChilledWaterHotWaterAndSteamDistributionSystems,NA,Use hand-held thermal imaging for leak detection,0,0,0,0,1,0,0
35,NA,ChilledWaterHotWaterAndSteamDistributionSystems,NA,Use satellite for leak detection,0,0,0,0,1,0,0
36,NA,ChillerPlantImprovements,NA,Check the ratio of conductivity of blowdown and make-up water for cooling tower management,1,0,1,0,0,0,0
37,NA,ChillerPlantImprovements,NA,Consider alternative water treatment options such as ozonation or ionization and chemical use for cooling tower,1,1,1,0,0,0,0
38,NA,ChillerPlantImprovements,NA,Implement a comprehensive air handler coil maintenance program for cooling tower management,0,0,1,0,0,0,0
39,NA,ChillerPlantImprovements,NA,Implement advanced cooling tower controls,0,0,0,0,0,1,0
40,NA,ChillerPlantImprovements,NA,Implement cooling tower water treatment programs,0,0,0,0,0,0,0
41,NA,ChillerPlantImprovements,NA,Install automated chemical feed systems for cooling tower management,0,0,0,0,0,0,0
42,NA,ChillerPlantImprovements,NA,Install conductivity controller for cooling tower management,0,0,0,0,0,0,0
43,NA,ChillerPlantImprovements,NA,Install covers on open distribution decks on top of cooling tower,0,0,1,0,0,0,0
44,NA,ChillerPlantImprovements,NA,Install flow meters on make-up and blowdown lines for cooling tower management,0,0,1,0,0,0,0
45,NA,ChillerPlantImprovements,NA,Install make-up water or side-stream softening system for cooling tower management,0,0,1,0,0,0,0
